iter	Passed	Remaining
0	91	91697
1	92	45979
2	92	30820
3	93	23190
4	93	18626
5	93	15570
6	94	13393
7	94	11749
8	95	10480
9	95	9458
10	96	8636
11	96	7946
12	96	7354
13	97	6852
14	97	6419
15	98	6037
16	98	5699
17	98	5396
18	99	5126
19	99	4885
20	100	4666
21	100	4468
22	100	4286
23	101	4118
24	102	3987
25	102	3850
26	103	3721
27	103	3601
28	104	3489
29	104	3382
30	104	3279
31	105	3184
32	105	3100
33	106	3015
34	106	2933
35	106	2856
36	107	2784
37	107	2716
38	107	2651
39	107	2589
40	108	2530
41	108	2474
42	108	2420
43	109	2369
44	109	2320
45	109	2273
46	109	2228
47	110	2185
48	110	2144
49	110	2104
50	111	2066
51	111	2030
52	111	1994
53	111	1960
54	112	1928
55	112	1896
56	112	1866
57	113	1836
58	113	1808
59	113	1781
60	113	1754
61	114	1729
62	114	1704
63	114	1679
64	115	1656
65	115	1633
66	116	1619
67	116	1596
68	116	1577
69	117	1560
70	117	1542
71	118	1523
72	118	1507
73	118	1488
74	119	1470
75	119	1454
76	120	1439
77	120	1424
78	120	1409
79	121	1394
80	121	1381
81	122	1367
82	122	1354
83	122	1341
84	123	1325
85	123	1311
86	123	1296
87	123	1285
88	124	1272
89	125	1264
90	125	1252
91	125	1240
92	125	1228
93	126	1217
94	126	1206
95	127	1197
96	127	1186
97	127	1176
98	128	1167
99	128	1158
100	129	1149
101	129	1138
102	129	1131
103	130	1122
104	130	1114
105	131	1105
106	131	1096
107	131	1089
108	132	1080
109	132	1072
110	132	1064
111	133	1055
112	133	1049
113	133	1041
114	134	1035
115	134	1027
116	135	1019
117	135	1012
118	135	1004
119	135	997
120	136	990
121	136	983
122	136	975
123	137	968
124	139	976
125	139	969
126	140	962
127	140	955
128	140	949
129	140	943
130	141	937
131	141	931
132	141	925
133	142	919
134	142	915
135	143	910
136	143	905
137	144	899
138	144	894
139	144	890
140	145	884
141	145	879
142	145	874
143	146	870
144	146	866
145	147	861
146	147	856
147	147	851
148	148	847
149	148	843
150	149	839
151	149	834
152	149	830
153	150	825
154	150	821
155	151	818
156	151	813
157	151	808
158	152	805
